id,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation,category,difficulty_level,created_at
1544,A company recently created its first AWS account. Which AWS services will require the use of a VPC? (Select TWO.),Amazon S3,Amazon Elastic File System (Amazon EFS),Amazon Cognito,Amazon DynamoDB,,DE,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:44.324912
1545,Which of the following is an AWS value proposition that describes a user's ability to scale infrastructure based on demand?,Speed of innovation,Resource elasticity,Decoupled architecture,Global deployment,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:44.716468
1546,Which guidelines are best practices for using AWS Identity and Access Management (IAM)? (Select TWO.),Share access keys,Create individual IAM users,Use inline policies instead of customer managed policies,Grant maximum privileges to IAM users,,CE,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:45.215875
1547,Which AWS service can be used to run Amazon EC2 instances on-premises at a user site?,AWS Snowball Edge,Amazon CloudFront,Lambda@Edge,AWS Lambda,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:45.638229
1548,A company wants to archive its media data as soon as the data is generated. The company needs to store the data for several years Two or three times each year the company must access some of the data within 10 minutes of a request. Which Amazon S3 solution will meet these requirements MOST cost-effectively?,S3 Standard,S3 Glacier with expedited retrievals,S3 Intelligent-Tiering,S3 Glacier Deep Archive,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:46.047562
1549,Which security service automatically recognizes and classifies sensitive data or intellectual property on AWS?,Amazon GuardDuty,Amazon Macie,Amazon Inspector,AWS Shield,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:46.355594
1550,A user wants to identify any security group that is allowing unrestricted incoming SSH traffic Which AWS service can be used to accomplish this goal?,Amazon Cognito,AWS Shield,Amazon Macie,AWS Trusted Advisor,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:46.663831
1551,A solutions architect needs to create a cost estimate for running workloads on AWS. The cost estimate must then be exported tor management review. Which AWS service or feature should be used to accomplish these tasks?,Cost Explorer,Amazon QuickSight,AWS Pricing Calculator,AWS Budgets,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:46.970980
1552,Which AWS service automatically handles application health monitoring?,Amazon API Gateway,AWS Elastic Beanstalk,AWS Lambda,AWS Config,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:47.277544
1553,"Which AWS service gives users the ability to find, buy, and immediately start using third-party software solutions in their AWS environments?",AWS Config,AWS OpsWorks,AWS Systems Manager,AWS Marketplace,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:47.583884
1554,Which of the following security resources are supplied by AWS? (Select TWO.),Trusted Advisor checks,Service intrusion metrics,Penetration testing,Educational webinars,,AC,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:47.891654
1555,Which of the following are benefits of using AWS Trusted Advisor? (Choose two.),Providing high-performance container orchestration,Creating and rotating encryption keys,Detecting underutilized resources to save costs,Improving security by proactively monitoring the AWS environment,,CD,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:48.199356
1556,A company's information security manager is supervising a move to AWS and wants to ensure that AWS best practices are followed. The manager has concerns about the potential misuse of AWS account root user credentials. Which of the following is an AWS best practice for using the AWS account root user credentials?,Allow only the manager to use the account root user credentials for normal activities,Use the account root user credentials only for Amazon EC2 instances from the AWS Free Tier,Use the account root user credentials only when they alone must be used to perform a required function,Use the account root user credentials only for the creation of private VPC subnets,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:48.505506
1557,A company is building a web application and needs to test the application across different mobile devices and desktop browsers Which AWS service should the company use for this testing?,AWS Amplify,AWS AppSync,Amazon Pinpoint,AWS Device Farm,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:48.816133
1558,"A company wants to build an application for a new line of business. According to the AWS Welt-Architected Framework, what design principles should be implemented? (Select TWO.)",Consolidate multiple AWS accounts into a single account.,Buy and host hardware in the AWS Cloud,Decouple the AWS Cloud architecture to break up monolithic deployments,Move on-premises network hardware to VPCs,,AE,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:49.119997
1559,Which actions should a company take to avoid failure in an AWS architecture design? (Select TWO),Separate Amazon EC2 instances into different Availability Zones.,Enable Alexa for Business for business applications,Use Amazon Workspaces to reduce the need for operating system patching,Use AWS Glue to prepare and load failover data,,AE,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:49.426730
1560,A user deploys an Amazon RDS DB instance in multiple Availability Zones This strategy involves which pillar of the AWS Well-Architected Framework?,Performance efficiency,Reliability,Cost optimization,Security,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:49.737652
1561,Which AWS service or tool provides information about the utilization of Reserved Instances?,AWS Systems Manager,Cost Explorer,AWS Config2,Amazon CloudWatch,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:50.164103
1562,"A company has a workload that requires data to be collected, analyzed and stored on premises The company wants to extend the use of AWS services to run on premises with access to the company network and the company's VPC. Which AWS service meets this requirement?",AWS Outposts,AWS Storage Gateway,AWS Direct Connect,AWS Snowball,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:50.451878
1563,Which AWS feature grants temporary access to specific AWS resources?,AWS IAM Access Analyzer,Service control policies (SCPs),Access control lists (ACLs),IAM roles,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:50.758621
1564,A company wants to use AWS storage services that support data lifecycle management to reduce the cost of storing files that are not accessed frequently. Which AWS services meets these requirements? (Select TWO.),Amazon FSx,Amazon Elastic Block Store (Amazon EBS),Amazon Elastic File System (Amazon EFS),Amazon S3,,DE,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:51.065845
1565,Which of the following acts as an instance-level firewall to control inbound and outbound access?,Network access control list,Security groups,AWS Trusted Advisor,Virtual private gateways,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:51.373200
1566,A company chooses an Amazon EC2 instance type that fits its usage requirements Which principle of the AWS Well-Architected Framework is the company following?,Proactively monitor costs,Rightsize the infrastructure,Supply resources dynamically.,Decommission unused resources,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:51.680058
1567,Which of the following can an AWS customer use to launch a new Amazon Relational Database Service (Amazon RDS) cluster? (Select TWO.),AWS Concierge,AWS CloudFormation,Amazon Simple Storage Service (Amazon S3),Amazon EC2 Auto Scaling,,AB,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:51.987429
1568,A company is running a reporting web server application on Amazon EC2 instances The application runs once every week and once again at the end of the month The EC2 instances can be shut down when they are not in use. What is the MOST cost-effective billing model for this use case?,Standard Reserved Instances,Convertible Reserved Instances,On-Demand Capacity Reservations,On-Demand Instances,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:52.294810
1569,"A user is comparing purchase options for an application that runs on Amazon EC2 and Amazon RDS. The application cannot sustain any interruption The application experiences a predictable amount of usage, including some seasonal spikes that last only a few weeks at a time It is not possible to modify the application. Which purchase option meets these requirements MOST cost-effectively?",Review the AWS Marketplace and buy Partial Upfront Reserved Instances to cover the predicted and seasonal load,Buy Reserved Instances for the predicted amount of usage throughout the year Allow any seasonal usage to run on Spot Instances.,Buy Reserved Instances for the predicted amount of usage throughout the year Allow any seasonal usage to run at an On-Demand rate.,Buy Reserved Instances to cover all potential usage that results from the seasonal usage,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:52.601905
1570,A batch workload takes 5 hours to finish on an Amazon EC2 instance. The amount of data to be processed doubles monthly and the processing time is proportional. What is the best cloud architecture to address this consistently growing demand?,Run the application on a bigger EC2 instance size,Switch to an EC2 instance family that better matches batch requirements.,Distribute the application across multiple EC2 instances and run the workload in parallel.,Run the application on a bare metal EC2 instance,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:52.909344
1571,Which of the following AWS Cloud services can be used to run a customer-managed relational database?,Amazon EC2,Amazon Route 53,Amazon ElastiCache,Amazon DynamoDB,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:53.216577
1572,"A company wants optimized pricing for its Amazon EC2 instances. The applications running on these instances cannot tolerate interruptions, and the workloads must remain in operation for at least 1 year. Which purchasing options should the company use to meet these requirements? (Select TWO.)",Reserved Instances,Spot Instances,AWS Marketplace subscriptions,Savings Plans,,AC,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:47:53.524391
